               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.027472,             0.02358,            0.020303,             0.86663,             0.46114,             0.56252,             0.43427,            0.022269,            0.015674,            0.026268,           0.0086536,           0.0086536,           0.0086536
                 138,            0.027691,            0.023283,            0.020204,             0.85904,             0.46222,             0.56099,             0.44093,            0.022068,            0.015679,            0.025914,           0.0086437,           0.0086437,           0.0086437
                 139,            0.027664,            0.023327,            0.020237,             0.83616,             0.49797,             0.58227,             0.45796,            0.021504,            0.015299,            0.026159,           0.0086338,           0.0086338,           0.0086338
                 140,            0.027372,            0.022958,            0.019438,             0.87616,             0.48519,             0.56374,             0.44335,            0.021643,            0.015611,            0.025667,           0.0086239,           0.0086239,           0.0086239
                 141,            0.026787,            0.023187,            0.019702,             0.87912,             0.47877,             0.57554,             0.44707,            0.021793,            0.015683,             0.02593,            0.008614,            0.008614,            0.008614
                 142,            0.026827,            0.022648,            0.019481,             0.83487,             0.49762,             0.57198,             0.45434,            0.021327,            0.015332,             0.02587,           0.0086041,           0.0086041,           0.0086041
                 143,              0.0271,            0.023044,            0.019878,             0.87978,             0.46485,             0.56413,             0.44321,            0.021445,            0.015633,            0.025938,           0.0085942,           0.0085942,           0.0085942
                 144,            0.027051,            0.022889,            0.019747,             0.84209,             0.49426,             0.56689,             0.44757,            0.021987,            0.015734,            0.025549,           0.0085843,           0.0085843,           0.0085843
                 145,            0.026701,            0.023143,            0.019718,              0.8934,             0.49054,             0.57105,             0.44646,            0.021557,            0.015329,            0.025828,           0.0085744,           0.0085744,           0.0085744
                 146,            0.027128,            0.022535,            0.019971,             0.84301,             0.49727,             0.57452,             0.45071,            0.021691,            0.015429,            0.025882,           0.0085645,           0.0085645,           0.0085645
                 147,            0.026844,            0.022861,            0.019602,             0.83274,             0.50122,             0.58721,             0.46175,            0.021867,            0.015755,            0.025858,           0.0085546,           0.0085546,           0.0085546
                 148,            0.026888,            0.022238,            0.019447,             0.83342,             0.51035,              0.5796,             0.45489,            0.021569,            0.015549,              0.0256,           0.0085447,           0.0085447,           0.0085447
                 149,            0.026862,            0.022259,             0.01873,              0.8347,             0.51158,             0.58935,             0.46138,            0.021584,            0.015447,            0.025138,           0.0085348,           0.0085348,           0.0085348
                 150,             0.02669,            0.022914,            0.019339,             0.89535,             0.47329,             0.57794,             0.45428,            0.021276,            0.015401,            0.025479,           0.0085249,           0.0085249,           0.0085249
                 151,            0.026937,            0.022527,            0.018557,             0.86312,              0.4985,             0.58784,             0.46621,             0.02155,            0.015674,            0.025137,            0.008515,            0.008515,            0.008515
                 152,            0.026695,            0.022626,            0.018396,             0.88119,             0.49359,             0.58156,             0.46037,             0.02116,            0.015373,            0.024789,           0.0085051,           0.0085051,           0.0085051
